-14339,11328,5528,9168,215,3468
-13708,679,-4398,14121,-10792,3901
-8640,19080,-5388,14892,-8724,4247
-14422,8136,-2077,17619,-12928,1437
-9103,13786,-3644,15900,-14179,2013
-9947,12121,-5176,11323,-10549,-722
-6665,16036,-2395,9898,-9784,-1606
-19376,17316,4164,-3109,-15269,5905
-17890,7497,-3704,-4341,-23149,2584
-10548,8269,1518,1679,-9552,-179
-8809,7280,3648,6594,-2928,-2103
-6960,12991,6350,6622,-253,-4922
-11781,19337,12175,1371,362,1829
-20383,21335,299,8985,-3792,-308
-5003,20064,-3721,15743,-635,-1501
-7828,15340,-2116,9413,-7579,733
-9556,12603,-2023,9702,-2534,-171
-7635,15469,-1397,4686,-2774,-6948
-11881,23496,4902,-6395,-623,2323
-23731,12882,-5205,-14939,-12219,9125
-6235,8149,786,-12622,-781,8485
-7989,851,1816,1045,-761,3316
-6416,11659,7908,8898,6939,-11263
-11737,5809,2459,628,9902,1851
-5229,2863,-16439,22301,-4870,-5389
-14445,9036,758,6853,554,377
-9151,10672,-3650,4551,-698,-1595
-13666,10038,-397,9369,-1754,-7583
-8758,22369,1280,-509,-1433,-1180
-26310,13713,-1349,-28906,-5477,12197
-7952,14443,-2296,2017,-14830,13967
-6378,3763,-543,-13899,11725,6708
-7847,7585,4666,8132,5620,-3758
-4896,30985,9603,-10227,11652,-1073
-16065,14287,11094,-8490,-7935,442
-3947,23305,2796,12158,571,-619
-8326,10991,1806,8119,-7227,1284
-11768,10562,-874,8125,-1987,-4482
-1950,24058,-1220,1718,-1869,-7230
-14462,17630,5357,-31268,-4208,11238
-6819,15260,64,2585,-20910,16623
-6798,7046,-781,-18169,12116,9705
-6941,1886,622,4802,4785,-152
-4444,32767,25296,-2041,12174,-7102
-19207,11405,15988,-3002,-6125,-4700
-9598,15252,-1051,15253,-2542,-1248
-4428,14475,843,9928,-8942,252
-9105,12980,-420,7406,-669,-4634
-4029,20274,599,3437,-2472,-7002
